"slug","title_en","title_ar","template_code","category_code","specialty","public_path","source_file","patient_copy","mapping_status"
"breast-abscess-haematoma","Breast Abscess Haematoma","","imc-approved-breast-abscess-haematoma","","","/approved-consent-forms-patient-copy/breast-abscess-haematoma-patient-copy.pdf","Breast Abscess Haematoma - Patient Copy.pdf","True","NEEDS_REVIEW"
"breast-biopsy-aspiration","Breast Biopsy Aspiration","","imc-approved-breast-biopsy-aspiration","","","/approved-consent-forms/breast-biopsy-aspiration.pdf","Breast Biopsy Aspiration.pdf","False","NEEDS_REVIEW"
"breast-biopsy-aspiration","Breast Biopsy Aspiration","","imc-approved-breast-biopsy-aspiration","","","/approved-consent-forms-patient-copy/breast-biopsy-aspiration-patient-copy.pdf","Breast Biopsy Aspiration - Patient Copy.pdf","True","NEEDS_REVIEW"
"breast-microdochotomy","Breast Microdochotomy","","imc-approved-breast-microdochotomy","","","/approved-consent-forms/breast-microdochotomy.pdf","Breast Microdochotomy.pdf","False","NEEDS_REVIEW"
"breast-microdochotomy","Breast Microdochotomy","","imc-approved-breast-microdochotomy","","","/approved-consent-forms-patient-copy/breast-microdochotomy-patient-copy.pdf","Breast Microdochotomy - Patient Copy.pdf","True","NEEDS_REVIEW"
"breast-wide-local-excision","Breast Wide LocaL Excision","","imc-approved-breast-wide-local-excision","","","/approved-consent-forms/breast-wide-local-excision.pdf","Breast Wide LocaL Excision.pdf","False","NEEDS_REVIEW"
"burch-colposuspension","Burch Colposuspension","","imc-approved-burch-colposuspension","","","/approved-consent-forms/burch-colposuspension.pdf","Burch Colposuspension.pdf","False","NEEDS_REVIEW"
"burns","Burns","","imc-approved-burns","","","/approved-consent-forms/burns.pdf","Burns.pdf","False","NEEDS_REVIEW"
"burns","Burns","","imc-approved-burns","","","/approved-consent-forms-patient-copy/burns-patient-copy.pdf","Burns - Patient Copy.pdf","True","NEEDS_REVIEW"
"burns-child-young-person","Burns (Child-Young Person)","","imc-approved-burns-child-young-person","","","/approved-consent-forms/burns-child-young-person.pdf","Burns (Child-Young Person).pdf","False","NEEDS_REVIEW"
"burns-child-young-person","Burns (Child-Young Person)","","imc-approved-burns-child-young-person","","","/approved-consent-forms-patient-copy/burns-child-young-person-patient-copy.pdf","Burns (Child-Young Person) - Patient Copy.pdf","True","NEEDS_REVIEW"
"caesarean-section","Caesarean Section","","imc-approved-caesarean-section","","","/approved-consent-forms/caesarean-section.pdf","Caesarean Section.pdf","False","NEEDS_REVIEW"
"capsule-endoscopy","Capsule Endoscopy","","imc-approved-capsule-endoscopy","","","/approved-consent-forms/capsule-endoscopy.pdf","Capsule Endoscopy.pdf","False","NEEDS_REVIEW"
"capsule-endoscopy","Capsule Endoscopy","","imc-approved-capsule-endoscopy","","","/approved-consent-forms-patient-copy/capsule-endoscopy-patient-copy.pdf","Capsule Endoscopy - Patient copy.pdf","True","NEEDS_REVIEW"
"cardioversion","Cardioversion","","imc-approved-cardioversion","","","/approved-consent-forms/cardioversion.pdf","Cardioversion.pdf","False","NEEDS_REVIEW"
"cardioversion","Cardioversion","","imc-approved-cardioversion","","","/approved-consent-forms-patient-copy/cardioversion-patient-copy.pdf","Cardioversion - Patient Copy.pdf","True","NEEDS_REVIEW"
"carotid-endarterectomy","Carotid Endarterectomy","","imc-approved-carotid-endarterectomy","","","/approved-consent-forms/carotid-endarterectomy.pdf","Carotid Endarterectomy.pdf","False","NEEDS_REVIEW"
"carotid-endarterectomy","Carotid Endarterectomy","","imc-approved-carotid-endarterectomy","","","/approved-consent-forms-patient-copy/carotid-endarterectomy-patient-copy.pdf","Carotid Endarterectomy - Patient Copy.pdf","True","NEEDS_REVIEW"
"carotid-stenting","Carotid Stenting","","imc-approved-carotid-stenting","","","/approved-consent-forms/carotid-stenting.pdf","Carotid Stenting (1).pdf","False","NEEDS_REVIEW"
"cataract-surgery","Cataract Surgery","","imc-approved-cataract-surgery","","","/approved-consent-forms/cataract-surgery.pdf","Cataract Surgery.pdf","False","NEEDS_REVIEW"
"catheter-check-with-iv-iodinated-contrast","Catheter Check with IV Iodinated Contrast","","imc-approved-catheter-check-with-iv-iodinated-contrast","","","/approved-consent-forms-patient-copy/catheter-check-with-iv-iodinated-contrast-patient-copy.pdf","Catheter Check with IV Iodinated Contrast - Patient  Copy.pdf","True","NEEDS_REVIEW"
"cautery-to-cervix","Cautery to Cervix","","imc-approved-cautery-to-cervix","","","/approved-consent-forms/cautery-to-cervix.pdf","Cautery to Cervix.pdf","False","NEEDS_REVIEW"
"central-vascular-access-device-insertion","Central Vascular Access Device Insertion","","imc-approved-central-vascular-access-device-insertion","","","/approved-consent-forms/central-vascular-access-device-insertion.pdf","Central Vascular Access Device Insertion.pdf","False","NEEDS_REVIEW"
