id,tenant_id,subscription_id,event_type,status,occurred_at,actor_user_id,metadata,created_at
b0f23d65-84e2-45cc-ab1e-753504425c54,86f33ca1-9c02-421c-a3bd-5a1d06cf3521,51687462-17b4-433e-a11a-b68169f29e17,CREATED,success,2026-03-08 04:31:14.54+00,8c56fcf3-3f34-460f-9eac-19fd5fb7e23b,"{""source"": ""seed""}",2026-03-08 04:31:14.54+00
f57c120f-27f2-4e3c-9ac2-7f20cbc98472,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,e6ecec1e-e28a-43a5-8c96-57ab68eecd62,UPDATED,success,2026-03-08 06:43:46.501+00,70264cc8-1086-45fb-bffe-7f5b383d3404,"{""note"": ""Default active subscription seeded for production admin tenant"", ""source"": ""seed""}",2026-03-08 06:43:46.501+00
751bb368-39d3-47ca-847d-92d9925b08dd,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,e6ecec1e-e28a-43a5-8c96-57ab68eecd62,UPDATED,success,2026-03-11 17:47:55.637+00,70264cc8-1086-45fb-bffe-7f5b383d3404,"{""source"": ""api/tenants/[tenantId]/subscription"", ""status"": ""ACTIVE"", ""planCode"": ""STARTER"", ""seatLimit"": 10, ""billingInterval"": ""MONTHLY""}",2026-03-11 17:47:55.637+00
e47daf22-c3c2-452e-8af9-3327dac9c43e,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,e6ecec1e-e28a-43a5-8c96-57ab68eecd62,UPDATED,success,2026-03-11 17:48:51.874+00,70264cc8-1086-45fb-bffe-7f5b383d3404,"{""source"": ""api/tenants/[tenantId]/subscription"", ""status"": ""TRIALING"", ""planCode"": ""ENTERPRISE"", ""seatLimit"": 10, ""billingInterval"": ""YEARLY""}",2026-03-11 17:48:51.874+00
a0881bd3-694d-4227-a387-a55031739cea,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,e6ecec1e-e28a-43a5-8c96-57ab68eecd62,UPDATED,success,2026-03-11 17:52:13.857+00,70264cc8-1086-45fb-bffe-7f5b383d3404,"{""source"": ""api/tenants/[tenantId]/subscription"", ""status"": ""TRIALING"", ""planCode"": ""ENTERPRISE"", ""seatLimit"": 10, ""billingInterval"": ""YEARLY""}",2026-03-11 17:52:13.857+00
