id,tenant_id,user_id,role,status,joined_at,invited_at,suspended_at,metadata,created_at,updated_at
a3443bf1-3e16-4884-8bde-3396ea2a6259,86f33ca1-9c02-421c-a3bd-5a1d06cf3521,8c56fcf3-3f34-460f-9eac-19fd5fb7e23b,OWNER,ACTIVE,2026-03-08 04:31:13.281+00,,,,2026-03-08 04:31:13.281+00,2026-03-10 02:05:02.553+00
b3eec49a-3e51-4453-bb36-529ee0cd44ee,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,70264cc8-1086-45fb-bffe-7f5b383d3404,ADMIN,ACTIVE,2026-03-08 04:31:15.665+00,,,,2026-03-08 04:31:15.665+00,2026-03-10 02:05:04.714+00
0508e2e6-348c-498c-b728-1e10431f3c28,ba70317a-5ce9-47b9-b45f-98d6462280ed,70264cc8-1086-45fb-bffe-7f5b383d3404,OWNER,ACTIVE,2026-03-11 17:46:24.82+00,,,,2026-03-11 17:46:24.82+00,2026-03-11 17:46:24.82+00
c01e0f20-c81e-438c-b7e4-15561bb4d690,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,66c9e807-9d2e-437c-b984-376f2ba0fd5f,OWNER,ACTIVE,2026-03-11 17:50:46.811+00,,,,2026-03-11 17:50:46.811+00,2026-03-11 17:50:46.811+00
e7fba98f-1060-4ca1-9eac-12ac13c3f0e9,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,0cac6fb8-9e3e-4875-a30a-6e4bbf4d1572,OWNER,ACTIVE,2026-03-11 17:51:48.243+00,,,,2026-03-11 17:51:48.243+00,2026-03-11 17:51:48.243+00
5bb935b7-cc24-4245-bb90-c5f74e4dde81,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,4cf772ee-64dc-42ff-8d66-470edf9dcf18,ADMIN,ACTIVE,2026-03-14 22:44:56.772+00,,,,2026-03-14 22:44:56.772+00,2026-03-14 22:44:56.772+00
4005228e-2b18-4e08-bae4-ca787703845f,3c71b7f0-e99c-48f9-a94d-9d061f5c3fd8,2fd8ec97-ea56-4a4a-9d6b-5a9d57907764,OWNER,ACTIVE,2026-03-21 09:08:27.371+00,,,,2026-03-21 09:08:27.371+00,2026-03-21 09:08:27.371+00
67d94ae9-ecd3-456e-a37d-58d95840e313,3c71b7f0-e99c-48f9-a94d-9d061f5c3fd8,7e506dda-3c5d-47a1-a96e-519b3ae348cc,VIEWER,ACTIVE,2026-03-21 09:12:52.81+00,,,,2026-03-21 09:12:52.81+00,2026-03-21 09:12:52.81+00
