id,tenant_id,plan_id,status,billing_interval,seat_limit,trial_ends_at,current_period_start,current_period_end,cancel_at,canceled_at,external_customer_id,external_subscription_id,metadata,version,created_at,updated_at
51687462-17b4-433e-a11a-b68169f29e17,86f33ca1-9c02-421c-a3bd-5a1d06cf3521,a84827c7-c235-4044-afd3-5c5a040d9905,TRIALING,MONTHLY,10,2026-03-24 02:05:03.064+00,2026-03-10 02:05:03.064+00,2026-04-09 02:05:03.064+00,,,,,,1,2026-03-08 04:31:14.035+00,2026-03-10 02:05:03.333+00
238832dd-8f3d-4fc1-9ec5-857d1c623cda,ba70317a-5ce9-47b9-b45f-98d6462280ed,a84827c7-c235-4044-afd3-5c5a040d9905,TRIALING,MONTHLY,10,2026-04-10 17:46:24.335+00,2026-03-11 17:46:24.335+00,2026-04-10 17:46:24.335+00,,,,,"{""source"": ""tenant_create_api""}",1,2026-03-11 17:46:24.624+00,2026-03-11 17:46:24.624+00
e6ecec1e-e28a-43a5-8c96-57ab68eecd62,0aa6bb34-4f25-45b8-a9f0-34b4f9e7b2e1,7ebbb7e2-37d9-491c-9b33-5ab908b25b0b,TRIALING,YEARLY,10,,2026-03-10 02:05:04.958+00,2026-04-09 02:05:04.958+00,,,,,,4,2026-03-08 06:43:46.123+00,2026-03-11 17:52:13.18+00
